,User_Name,Name,Description (Status),Tweets Posted,Location,No of Followers,Device Used for Tweet,Date of Tweet Creation,No of Friends
65,Rashmi86033285,Rashmi,Fashion. Dance. Music,"RT @99acresIndia: #BudgetWith99acres | FM announces in #Budget2022: Special Economic Zones Act to be replaced soon

#99acres #BudgetSession…",,14,Twitter for Android,2022-02-07 06:50:27+00:00,4
66,RadheshyamSond4,Radheshyam sondhiya,Let's put India first.Desh ke gaddaron ko jute Maron salon ko.Jay shree Ram.I want to become The Arjun.,"RT @rsprasad: .@narendramodi Govt is committed to the welfare of farmers.

Since the launch of PM- Kisan it has provided income support to…",India,236,Twitter for Android,2022-02-07 06:50:23+00:00,1
67,mywonderplatter,Shweta Chawla,Food reviewer | Zomato reviewer level 7 | Movie Buff | Follow me on instagram & facebook @mywonderplatter,RT @99acresIndia: #Budget2022 | #PMAY gets a major boost in #UnionBudget2022. Has homebuying become easier? Let's find out: https://t.co/Zl…,Delhi,106,Twitter for Android,2022-02-07 06:49:46+00:00,89
68,mywonderplatter,Shweta Chawla,Food reviewer | Zomato reviewer level 7 | Movie Buff | Follow me on instagram & facebook @mywonderplatter,"RT @99acresIndia: #Budget2022: A mixed bag for #RealEstate Sector. Know the hits and misses: https://t.co/iTQJVoqATH

#99acres #BudgetSessi…",Delhi,106,Twitter for Android,2022-02-07 06:49:43+00:00,89
69,mywonderplatter,Shweta Chawla,Food reviewer | Zomato reviewer level 7 | Movie Buff | Follow me on instagram & facebook @mywonderplatter,"RT @99acresIndia: #Budget2022 focuses on ""Housing for all"". What's in it for you? Check out here: https://t.co/diuZ5Ycp4D 

#99acres #Budge…",Delhi,106,Twitter for Android,2022-02-07 06:49:40+00:00,89
70,suresh_batha,Suresh Batha,Additional Director & Officer in Charge | STPI Gandhinagar | Ministry of Electronics & Information Technology | Government of India.,"RT @Omkar_Raii: Initiatives like extension of tax holiday for startups, reduction in tax burden for investors in startups, and modernizatio…","Gandhinagar, India",262,Twitter for iPhone,2022-02-07 06:49:30+00:00,96
71,GMashruwala,Gaurav Mashruwala,Transforming Financial Lives,"Most people believe that the family budget impacts them the most, though people are less aware of planning one. The… https://t.co/hUKMRBjMmc",Mumbai India,6350,Twitter for Android,2022-02-07 06:49:03+00:00,139
72,KDKSoftwares,KDK Softwares,"We design Secure, Accurate & Resilient Tax Filing solutions for Business, Chartered Accountant & Tax Professionals.

Trusted By Thousands of Businesses.",Ep. 2 : Highlights of Budget - 2022 (Taxation) with FCA Kapil Jain in association with #ExpressGST | Register:… https://t.co/OwV0zVtcsU,India,4178,Twitter Web App,2022-02-07 06:48:59+00:00,499
73,PrawinJadhav,Pravin Jadhav,Sustainability Manager at a large energy conglomerate; ESG communications; Climate change mitigation and carbon markets; Chemical Engineer; Views - personal,"RT @ChangeStarted: It won't be wrong to say that Budget 2022 is one of the first green budgets presented by the Indian government.

While m…",Mumbai,465,Twitter for Android,2022-02-07 06:48:47+00:00,1583
74,Jaspal35100352,🌾Jass❤️,"Insta I'd 

Jass_verma_8606","RT @Jaspal35100352: #बजट_चोर_मोदी
BJP &amp; @narendramodi have stolen from poor people &amp; farmers to fill up their corporate allies pockets, thr…","Amritsar, India",523,Twitter for Android,2022-02-07 06:48:18+00:00,2613
75,pravin_maghizh,𝐏𝐑𝐀𝐕𝐈𝐍𝐊𝐔𝐌𝐀𝐑  ,,"Born free,Taxed to DEATH.
#Budget2022",Tirupur ,295,Twitter for iPhone,2022-02-07 06:48:15+00:00,1281
